,nombre,latitud,longitud,ciudad,distancia,tipo
25,BluePearl Veterinary Partners,40.736982,-73.993478,New York,2218,Veterinarian
26,Uptown Veterinary Associates,40.801832485814465,-73.95682218650818,New York,5745,Veterinarian
27,City Veterinary Care,40.77901115685278,-73.98258687507209,New York,2557,Veterinarian
28,Veterinary Emergency Group,40.763749,-73.962177,New York,2469,Veterinarian
29,Veterinary Emergency Group,40.61561199690642,-73.92956474172179,Brooklyn,16515,Veterinarian
30,Paws and Claws Veterinary Hospital,40.72037333982284,-73.95856108107547,Brooklyn,4836,Veterinarian
31,Firefly Veterinary Hospital,40.742624,-73.996285,New York,1658,Veterinarian
32,Pure Paws Veterinary Care of Clinton Hill,40.6824733,-73.9630804,Brooklyn,8571,Emergency Room
33,Veterinary Emergency Group,40.7999,-74.124539,Lyndhurst,12320,Veterinarian
34,Felton Veterinary Services,40.716175,-73.963752,Brooklyn,5026,Veterinarian
35,Lexington Veterinary Group,40.74953,-73.976906,New York,1361,Veterinarian
36,Maureen Walsh Veterinary Medicine & Surgery,40.76942825317383,-73.98487854003906,New York,1477,Veterinarian
37,PAWSitive Veterinary of New York,40.647129908693756,-73.96907740726945,Brooklyn,12327,Veterinarian
38,Veterinary Emergency & Referral Group (VERG),40.61568989990145,-73.92943491276961,Brooklyn,16510,Veterinarian
39,Pearly Bites Veterinary,40.742513,-73.996184,New York,1667,Veterinarian
40,Veterinary Emergency & Referral Group,40.67830985736285,-73.98250839321021,New York,8752,Veterinarian
41,Williamsburg Veterinary Clinic,40.731027000000005,-73.954685,Brooklyn,4127,Veterinarian
42,Cats Exclusive Veterinary Hospital,40.832935,-73.991035,Ridgefield,8483,Veterinarian
43,Bensonhurst Veterinary,40.61097234978262,-73.99177169879236,Brooklyn,16226,Veterinarian
44,Blue Pearl Veterinary Partners,40.735488000000004,-73.98599300000001,New York,2388,Veterinarian
45,York Veterinary Center,40.767371,-73.95513,New York,3166,Veterinarian
46,Cooper Square Veterinary Hospital,40.72746618943346,-73.99061496749717,New York,3258,Veterinarian
47,Small Door Veterinary,40.769084,-73.960867,New York,2812,Veterinarian
48,Center for Veterinary Care,40.771006185304344,-73.95767296793264,New York,3152,Veterinarian
49,Worth Street Veterinary Center,40.71675266718981,-74.0056727692407,New York,4643,
0,Rudy's Bar & Grill,40.7599319591241,-73.99159047097984,New York,382,Dive Bar
1,Ritz Bar & Lounge,40.76084409354975,-73.99032233051244,New York,458,Gay Bar
2,Bar 54,40.757404646876275,-73.98418353116445,New York,492,Bar
3,Dalton's Bar & Grill,40.759256091378646,-73.99202422088419,New York,330,Sports Bar
4,Iron Bar & Lounge,40.7591498,-73.988653,New York,291,Cocktail Bar
5,Zoob Zib Thai Noodle Bar,40.75452956940237,-73.99556553080292,New York,532,Thai Restaurant
6,Harbor Bar,40.75481461571331,-73.98414719532295,New York,534,Bar
7,Applebee's Grill + Bar,40.75682302336609,-73.9888198065129,New York,96,American Restaurant
8,At Nine Restaurant & Bar,40.758808554441515,-73.99236495693143,New York,307,Thai Restaurant
9,Hibernia Bar,40.76365,-73.9891,New York,773,Bar
10,Mercury Bar West,40.76078094829809,-73.99090207540895,New York,457,Sports Bar
11,Sake Bar Hagi 46,40.76062666718955,-73.99003949599008,New York,433,Japanese Restaurant
12,Industry Bar,40.76429872976654,-73.98703044372803,New York,878,Gay Bar
13,Hardware Bar,40.76318209849134,-73.99289005599256,New York,759,Gay Bar
14,Latitude Bar & Lounge,40.760937,-73.9875069,New York,511,Bar
15,The Jolly Goat Coffee Bar,40.76324477334396,-73.99416619410337,New York,807,Coffee Shop
16,Smith's Bar & Restaurant,40.758695936006795,-73.98908920232871,New York,230,Bar
17,Ayza Wine & Chocolate Bar,40.7471282,-73.98690429999999,New York,1099,Wine Bar
18,Zibetto Espresso Bar,40.75908072713993,-73.98209303729396,New York,713,Café
19,Kabooz's Bar and Grill,40.750407354942595,-73.99308109754108,New York,751,New American Restaurant
