,nombre,latitud,longitud,ciudad,distancia,tipo
46,Bar Lagasca 80,40.4290303577123,-3.6849830620465154,Madrid,8233,Spanish Restaurant
0,Starbucks ECI Sanchinarro,40.49768721643861,-3.660368141302403,Madrid,1029,Cafeteria
1,Starbucks Moraleja Green,40.519183,-3.656392,Alcobendas,2255,Cafeteria
2,Starbucks Diversia Alcobendas,40.5304122,-3.6384856,Alcobendas,4172,Cafeteria
3,Starbucks Gran Vía 30,40.42014039388448,-3.702886033408268,Madrid,9528,Cafeteria
4,Starbucks Orense 6,40.44772869759542,-3.6951754717412046,Madrid,6402,Cafeteria
5,Starbucks,40.49024076241017,-3.5910167013925776,Madrid,6898,Coffee Shop
6,Starbucks CC La Vaguada,40.47963598026618,-3.707357285899872,Madrid,3976,Cafeteria
7,Starbucks Alcalá 21,40.418038185194774,-3.699371513099982,Madrid,9674,Cafeteria
8,Starbucks ECI Castellana (Starbucks),40.44748872381242,-3.6930934929855574,Madrid,6374,Cafeteria
9,Starbucks Gran Vía 58,40.421751918201934,-3.7083782102926905,Madrid,9501,Cafeteria
10,Starbucks Princesa 40,40.42906874005007,-3.7150786671568476,Madrid,8959,Cafeteria
11,"Starbucks Velázquez, 32",40.424974636524,-3.684107212216363,Madrid,8670,Cafeteria
12,Starbucks Conde de Peñalver,40.426066801136066,-3.6756167469058876,Madrid,8486,Cafeteria
13,Starbucks,40.440273,-3.682125,Madrid,6960,Coffee Shop
14,"Starbucks Serrano, 100",40.4335639178076,-3.6868293595360973,Madrid,7759,Cafeteria
15,Starbucks Fuencarral 43,40.423112989750564,-3.700798408458431,Madrid,9161,Cafeteria
16,Starbucks,40.463373433797436,-3.569932193974597,Madrid,9585,Coffee Shop
17,Starbucks Reina Sofia,40.40885214578761,-3.693236539287397,Madrid,10563,Cafeteria
18,Starbucks,40.420450975922165,-3.6796733064135796,Madrid,9132,Coffee Shop
19,Starbucks San Miguel,40.41573297582015,-3.708717822655616,Madrid,10144,Cafeteria
20,Starbucks CC Dreams,40.46282268242124,-3.636758032267253,Madrid,5255,Cafeteria
21,Starbucks Génova 27,40.425760357264515,-3.691781759262085,Madrid,8691,Cafeteria
22,Starbucks Juan Bravo,40.43296760669224,-3.6832201480865474,Madrid,7778,Cafeteria
23,Starbucks CC Plaza Norte II,40.54098765122251,-3.6144631129312903,San Sebastián de los Reyes,6441,Cafeteria
24,Starbucks Arenal 14,40.41719516711848,-3.706118548830636,Madrid,9922,Cafeteria
25,Starbucks CC Plenilunio,40.44638591027995,-3.587592789104539,Madrid,9406,Cafeteria
26,Starbucks,40.44677599194058,-3.6918291111629657,Madrid,6419,Coffee Shop
27,Starbucks Plaza de España,40.423319643246955,-3.710882844657412,Madrid,9411,Cafeteria
28,Starbucks Factory,40.56759118056671,-3.609464200826653,San Sebastián de los Reyes,8946,Cafeteria
29,Starbucks,40.51505597365679,-3.663117632576775,Madrid,1575,Coffee Shop
30,Starbucks,40.4947002313464,-3.5671019289775407,Madrid,8832,Coffee Shop
31,Starbucks Velázquez,40.4394314443529,-3.6826531171468173,Madrid,7059,Cafeteria
32,Starbucks Quevedo,40.433353,-3.703958,Madrid,8159,Cafeteria
33,Starbucks,40.455039,-3.583356,Madrid,9089,Coffee Shop
34,Starbucks,40.421095,-3.70256,Madri,9418,Coffee Shop
